"Season","GameDate","TeamName","OpponentName","Score","GameId"
1967,1968-01-12,"TuS 1860 Neunkirchen","S3L Handball","13:22","c21bbc3e-3960-11ef-afab-d3de5c174a65"
1967,1967-12-01,"S3L Handball","FRISCH AUF! Göppingen","21:8","c2074ce0-3960-11ef-9247-d3de5c174a65"
1967,1967-10-13,"BSV Solingen 1898","TuS 05 Wellinghofen","9:8","bfc51461-3960-11ef-9486-d3de5c174a65"
1967,1968-02-19,"THW Kiel","Hamburger SV","13:8","bfa794de-3960-11ef-8fbb-d3de5c174a65"
1967,1968-01-12,"BSV Solingen 1898","GWD Minden","16:17","b90c565e-3960-11ef-91de-2906cc9fb6bc"
1967,1967-12-02,"TV Hochdorf","SpVgg 1887 Möhringen","19:12","c139b07d-3960-11ef-adbb-d3de5c174a65"
1967,1967-11-19,"SpVgg 1887 Möhringen","TuS 1860 Neunkirchen","23:14","c3d898dc-3960-11ef-8237-d3de5c174a65"
1968,1968-10-19,"VfL Gummersbach","THW Kiel","17:13","aa3a73e4-3960-11ef-8320-ffa068a44a47"
1968,1969-01-11,"THW Kiel","VfL Gummersbach","9:17","aab636fa-3960-11ef-819b-ffa068a44a47"
1968,1968-11-09,"TV Hochdorf","Füchse Berlin","17:12","b44d948a-3960-11ef-a526-2906cc9fb6bc"
1968,1969-01-11,"TV Hochdorf","TSV Birkenau","14:11","b4a4e8e7-3960-11ef-a8bd-2906cc9fb6bc"
1968,1968-10-12,"SpVgg 1887 Möhringen","Füchse Berlin","18:16","b663c269-3960-11ef-9757-2906cc9fb6bc"
1968,1969-01-08,"FRISCH AUF! Göppingen","S3L Handball","13:14","b55b0afc-3960-11ef-9b1c-2906cc9fb6bc"
1968,1968-11-09,"S3L Handball","SpVgg 1887 Möhringen","22:19","b51e3f95-3960-11ef-a996-2906cc9fb6bc"
1968,1969-03-21,"VfL Gummersbach","S3L Handball","21:13","ab135da6-3960-11ef-b029-ffa068a44a47"
1968,1969-03-07,"Füchse Berlin","TSV Birkenau","14:14","b6410b2a-3960-11ef-8729-2906cc9fb6bc"
1968,1968-10-19,"TSV Birkenau","TV Hochdorf","20:21","b42f532e-3960-11ef-a837-2906cc9fb6bc"
1968,1969-02-08,"FRISCH AUF! Göppingen","Füchse Berlin","19:10","b6c47941-3960-11ef-96a5-2906cc9fb6bc"
1968,1969-02-01,"BSV Solingen 1898","GWD Minden","15:13","abe0b1ba-3960-11ef-97c7-ffa068a44a47"
1968,1968-11-30,"Füchse Berlin","FRISCH AUF! Göppingen","10:16","b684b125-3960-11ef-a42a-2906cc9fb6bc"
1968,1969-01-18,"Füchse Berlin","TSV Birkenau","13:8","b612aae4-3960-11ef-9cf9-2906cc9fb6bc"
1968,1969-03-01,"TSV Birkenau","S3L Handball","18:16","b59582dd-3960-11ef-9f6a-2906cc9fb6bc"
1968,1968-11-24,"THW Kiel","BSV Solingen 1898","19:14","b3f3c775-3960-11ef-9a1c-2906cc9fb6bc"
1968,1969-02-02,"TuS 05 Wellinghofen","THW Kiel","10:9","b32c65bb-3960-11ef-ad48-2906cc9fb6bc"
1968,1968-11-24,"Hamburger SV","VfL Gummersbach","14:12","aa5c9c5f-3960-11ef-a579-ffa068a44a47"
1968,1969-01-15,"TuS 05 Wellinghofen","VfL Gummersbach","11:14","aac7734e-3960-11ef-8c29-ffa068a44a47"
1968,1968-10-12,"S3L Handball","FRISCH AUF! Göppingen","15:12","b5001dac-3960-11ef-bbda-2906cc9fb6bc"
1968,1968-12-21,"S3L Handball","Füchse Berlin","24:16","b54b4de1-3960-11ef-880a-2906cc9fb6bc"
